id,username,post,ticker
40,Гоша Фомич,"Глава Минтранса доложил Путину о запуске инфосистемы легкового такси в РФ с 1 сентябряУже с 1 сентября этого года Федеральная государственная информационная система легкового такси начнет работу в России.Об этом заявил руководитель Минтранса РФ Виталий Савельев на совещании членов Правительства с Президентом России Владимиром Путиным, сообщает пресс-служба Кремля.По словам министра, пересмотр правового регулирования перевозок легковым транспортом пассажиров и багажа в России провели впервые за последние 20 лет. Инициаторы реформы рассчитывают, что она поможет усилить контроль за сферой автоперевозок.Отмечается, что новая система будет работать на единой цифровой платформе «Гостех» и охватит более 20 млн граждан и 453 тыс. легковых такси.",YNDX
41,Nordstream,"7,7% (1780 чел) сотрудников Яндекса работают из-за рубежа - данные компанииВ 2022 году доля сотрудников «Яндекса», работающих из-за рубежа, равнялась 7,7%. Всего в компании в прошлом году работал 25 431 человек.«В 2022 году сотрудники «Яндекса» работали в России, Армении, Белоруссии, Израиле, Казахстане, Сербии и других странах», — отмечается в документе.Источник:www.forbes.ru/tekhnologii/491163-andeks-nazval-dolu-rabotausih-iz-za-rubeza-sotrudnikov?utm_source=forbes&utm_campaign=lnewsАвто-репост. Читать в блоге>>>",YNDX
42,Яндекс,Про ESG — нашу устойчивую повесткуСегодня мы опубликовали отчёт о прогрессе в области устойчивого развития за 2022 год. Для нас это безусловно важная тема: все сервисы Яндекса сделаны для улучшения и упрощения жизни людей. И мы стремимся адаптировать цифровые продукты под самые разные потребности наших пользователей.В карточках собрали для вас наши результаты по основным направлениям: от системной благотворительности и образовательных инициатив до помощи партнёрам и экологичности.Полный отчёт можно найти по ссылке:https://sustainability.yandex.ru/2022-highlightsАвто-репост. Читать в блоге>>>,YNDX
43,Константин Дубровин,"tass.ru/obschestvo/18054809Мировой суд в Москве наложил административный штраф на крупнейшую площадку Рунета «Яндекс», признав ее виновной в повторном непредоставлении в ФСБ России информации о пользователях сервиса «Яндекс. Услуги»походу взелись налоговки за безналоговых самозанятых",YNDX
44,Conquistador,Безработные пауперы присосались к сервисам Яндекс… бюджету тоже хорошо эта фишка даже НДС платит… инвестор тут как бы лишний в этом секторе интерактивной связи… Яндекс не нужен инвесторам без собственника и точка!!!,YNDX
45,master1,"Тучи над Яндексом сгущаются. +Завеса в облаках.Я уже писал про фигуру «завеса в облаках на графике Яндекса»smart-lab.ru/blog/913430.phpА в пятницу вышла статья:Тучи над «Яндексом» сгущаются. Какие перспективы у компании?Известия о возможных изменениях в корпоративной структуре «Яндекса» появились еще летом прошлого года, а 25 ноября компания официально объявила о своих планах по разделению бизнеса на российский и международный. С тех пор вокруг потенциальной сделки ходит много разговоров, но все еще неизвестно, кто же станет новыми владельцами «Яндекса» и какие доли получат инвесторы. Ранее представители «Яндекса» сообщили о том, что все детали касательно потенциального состава инвесторов будут раскрыты, «когда это будет возможно».Несмотря на сохраняющуюся неопределенность, бумаги «Яндекса» с ноября прошлого года несколько подросли, но сегодня находятся под давлением после предложений главы ВТБ Андрея Костина провести сделку с «Яндексом» по примеру российских активов финской госкомпании Fortum, передав ее под внешнее управление.Авто-репост. Читать в блоге>>>",YNDX
46,master1,"📉Костин «опустил» яндекс: акции поисковика упали на 4%Акции Яндекса рухнули на 4% с 2608 до 2512 рублей после заявлений главы ВТБ Андрея Ко...Nordstream, так акции Яндекса в сделке не участвуют. Цена нидерландского Яндекса на Мосбирже не влияет на цену российского ООО в сделке.",YNDX
47,master1,"ОПРОС. Про неизменность лидерства Яндекса. Вы знали что такое Нетскейп?Кто помнит ноутбуки IBM (теперь это Lenovo)? Долю рынка мобильников Нокиа.Долю Инт7ернет Эксплорера (и у кого он её, кстати, отбил) и где вы смотрите это сообщение?Альтависта (и что общего с Яндексом)?В комментариях напишите, какие похожие фирмы ранее были лидерами, а теперь мало кто их помнит.Если у вас активы, расположены не на заводе, а на серверном диске, то сколько лет осталось такому лидерству?Опять же санкции. Часть доли рынка поиска Яндекса убирается отключением от айфона (как приложения банков под санкциями). Это, скорее, будет после разделения уже. У VK могут просто отключить домен в зоне com и опять же отключить от айфона. Кстати, и просто могут не дать работать некоторым приложениям на западных операционных системах (андроид, винда)Как могут и просто бить по паспорту клиента. Зашёл с российского IP — запрет пользоваться операционной системой.Голосование для мобильныхsmart-lab.ru/blog/913480.php?nomobile=1Добавьте пожалуйста опросу до 15 плюсов, чтобы он попал на первую страницу, если хотите, чтобы опрос увидели и другие.  Сегодня на этот сайт атака ddos. Попасть не каждый сможет. Ваш голос важен.Авто-репост. Читать в блоге>>>",YNDX
48,master1,"Яндекс. 14,15,16 июня - завеса в облаках + медвежье поглощение. 5,6,7 июня такое тоже было, но в обратную сторону - просвет в облаках и двухдневное бычье поглощение.Таймфрейм 1 день.14.06ср, 15.06чт образовалась фигура Завеса в облаках.А вместе, свечи 15.06чт и 16.06пт по медвежьи поглотили бычью свечу 14.06ср.5,6,7 июня такое тоже было, но в обратную сторону — просвет в облаках и двухдневное бычье поглощение.Ваше мнение приветствую.Добавьте пожалуйста до 15 плюсов, чтобы пост попал на первую страницу, если хотите, чтобы его увидели и другие.Авто-репост. Читать в блоге>>>",YNDX
49,master1,"Путин про беспилотные автомобили. Плюс Яндексу. Только вот какому? Нидерландскому или российскому?России нужно массовое внедрение проектов с машинами-беспилотниками, заявил президент РФ Владимир Путин.«Буквально на днях в рамках нашего форума состоялся запуск беспилотных грузовиков „Камаз“ на федеральной трассе „Нева“, на улицах Москвы работают беспилотные такси „Яндекс“ — это хорошие, но пока единичные примеры, а нам нужны именно массовые внедрения подобных технологий», — сказал Путин, выступая на пленарном заседании ПМЭФ.ria.ru/20230616/avtomobili-1878699390.htmlАвто-репост. Читать в блоге>>>",YNDX
50,Conquistador,"Яндекс,OZON ,VK ,hh — ЭТО ГИБРИДНЫЕ ЦЕННЫЕ БУМАГИ!!))))",YNDX
51,Smart Investors,"Smart Investors, Вот и реальность нас рассудила, — по поводу шортов. Вот нас «красавчиков» и учат шортить в определенное время в определенно...Evgeny Kornev, у нас с вами просто разные цели ☺️ я считаю что шортить против тренда опасно и как минимум не комфортноПоздравляю с тейком ☺️В тг канале пишу свои сделки и прошу их не повторять. Это не идеи, это трансляция работы трейдера и многое остается за кадром. Ответственность за ваши сделки только на вас.",YNDX
52,Николай Иванов,"✔ ⓈⒺⓇⒼⒾⓄ:Ⓩ, Яблоко делает товар уникальный, а Яндекс чтоPP PP,В чем уникальность? Сяоми, Хуавей, Самсунг и остальные делают то же самое за меньшую цену, зачастую лучшего качества, с большими инновациями и с большей клиентоориентированностью.",YNDX
53,stanislava,"Сценарий Fortum с активами ""Яндекса"" маловероятен - ИВА ПартнерсОчевидно, что глава ВТБ не доволен изменившимися параметрами сделки.“Яндекс РФ” по сути, рублевый актив, а продают его за доллар, который укрепился с момента анонса сделки до 83-85 рублей. Возможно поменялись и другие условия. Непубличные. В результате, ВТБ может не принять участия в сделке. Впрочем, был озвучен пул инвесторов. Возможно, вместо ВТБ появится другой интересант.Что касается сценария с активами Yandex РФ, случившегося с Fortum, пока это представляется маловероятным. В IT компаниях, в отличие от заводов или электростанций, основные средства производства – это сотрудники. И как раз сотрудников “взять в доверительное управление” в отличие от активов нельзя.Тузов АртемИК «ИВА Партнерс»Самым адекватным решением ситуации был бы возврат собственников Yandex в РФ и продолжение развития IT в РФ.Авто-репост. Читать в блоге>>>",YNDX
54,R B,Одно слово Яндекс из уст Путина подняло актив на 2%. У Костина на больше процентов получается опускать Яндекс.,YNDX
55,Михалыч,"Smart Investors14 июня 2023, 22:30где вас красавчиков учат шортить против тренда?",YNDX
56,Сергей,"По мнению Костина, передача бизнеса «Яндекса» необязательно может быть проведена в адрес Росимущества. «Есть хорошие команды профессионалов,...Evgeny Kornev, верно. Какие расчеты с врагами если они наши деньги заморозили? Что за прогиб? Снимут санкции и велком, можно обсуждать. А так это помощью нацистам может стать чубатым и причиной смерти наших бойцов. Нафига? Ради чего?",YNDX
57,vadim80,"vadim80, очень даже физические активы у Яндекса (сотрудники, офисы, сервера, таксисты, логистические центры, курьеры, лицензии и пр.). И они...Иванов М.,сотрудники, таксисты, курьерыкрепостное право еще не отменили?офисы, сервера, логистические центрынезначитальная часть стоимости бизнесалицензии и пр.какие именно?вообще, яндекс это показательный кейс, когда влажные мечты охранителей разобьются о реальность",YNDX
