id,username,post,ticker
10,дмитрий маликов,"в 18.50-59 ожидаем новости на Интерфаксе. upd пока новостей не вышлоДурдин Артем, для выкупа 30 миллионов акций Магниту нужно 68 миллиардов рублей, или 750 миллионов долларов. Тоесть нужную сумму магнит должен скупить за 75 рабочих дней или 3,5 месяца. А выкуп заканчивается 19 июля. За 6 недель (30 рабочий дней) успеет купить только 300 миллионов долларов чего хватит на выкуп только 12-14 миллионов акций. Жёстко кого-то кинут:)) Не удивлюсь если дочка Магнита выкупленные акции уже льет на ММВБ:))",MGNT
11,РоманП.,Прикольно что эту какаху начали разгонять. Купил и акций и фьючей в Лонг. Отобью убытки с шорта до этого.,MGNT
12,Владислав Кофанов,"Магнит создаёт прецедент, такому выкупу собственных акций у иностранцев могут последовать и другие эмитенты⁠⁠🍏 Я с большим удовольствием наблюдал за происходящим вокругМагнитаи параметрами выкупа акций у иностранцев (изначально предложение было о выкупе ~10,2 млн акций или 10% от капитала), по моему скромному мнению данный жест «доброй воли» от эмитента должен был привлечь нерезидентов в большем количестве, чем предложение компании, так оно и случилось (единственный сейчас шанс для застрявших нерезидентов выйти из капитала компании, хоть и с дисконтом).Магнитобъявилоб увеличении тендерного предложения, давайте рассмотрим основные параметры сделки:▪️ Объявлено о выкупе 30,4 млн акций (29,8% от капитала, а это важно поскольку компания не переходит порох в 30% владения акциями, значит требование о проведении обязательного предложения применятся не будет).▪️ Цена акции — 2 215₽ (дисконт установлен правительственной комиссией, сейчас цена Магнита составляет — 5156₽).▪️ Выход из капитала полностью добровольный, иностранцы могут и остаться (как вы понимаете желание остаться есть не у многих).Авто-репост. Читать в блоге>>>",MGNT
13,Раскрывальщик,"""Магнит"" Заключение подконтрольной эмитенту организацией договора, предусматривающего обязанность приобретать эмиссионные ценные бумаги эмитента2. Содержание сообщения2.1. Лицо, которое заключило договор, предусматривающий обязанность лица приобретать ценные бумаги эмитента (лицо, контролирующее эмитента; подконтрольная эмитенту организация): подконтрольная эмитенту организация2.2....Авто-репост. Читать в блоге>>>",MGNT
14,Раскрывальщик,"""Магнит"" Заключение подконтрольной эмитенту организацией договора, предусматривающего обязанность приобретать эмиссионные ценные бумаги эмитента2. Содержание сообщения2.1. Лицо, которое заключило договор, предусматривающий обязанность лица приобретать ценные бумаги эмитента (лицо, контролирующее эмитента; подконтрольная эмитенту организация): подконтрольная эмитенту организация2.2....Авто-репост. Читать в блоге>>>",MGNT
15,Раскрывальщик,"""Магнит"" Отчуждение подконтрольной эмитенту организацией голосующих акций (долей) эмитента или депозитарных расписок на акции эмитента2. Содержание сообщения2.1. Лицо, у которого произошло отчуждение голосующих акций (долей) эмитента или депозитарных ценных бумаг, удостоверяющих права в отношении голосующих акций эмитента (эмитент; подконтрольная эмитенту организация): подконтрольная эмитенту организация;2....Авто-репост. Читать в блоге>>>",MGNT
16,Дурдин Артем,в 18.50-59 ожидаем новости на Интерфаксе. upd пока новостей не вышло,MGNT
17,Nordstream,"Магнит отверг обвинения о влиянии сделки по выкупу акций на курс рубля — РБККомпания Магнит опровергла сообщения о том, что ее подготовка к сделке по выкупу собственных акций у нерезидентов могла повлиять на ослабление рубля на Московской бирже. Ритейлер сообщил, что у него достаточно валюты, чтобы осуществить выкуп. В течение последних четырех недель компания закупала валюты, в объеме не превышающем эквивалент $10 млн в день, и в основном юани», — сообщили в пресс-службе.Источник:quote.ru/news/article/649ed31b9a7947aadcf1d592Авто-репост. Читать в блоге>>>",MGNT
18,Дурдин Артем,"Сегодня, насколько помню, может пройти назначение нового СДДюннинг Ян Гезинюс принял решение об изменении структуры управления ПАО «Магнит» и создании должности управляющего директора ПАО «Магнит», которую 30.06.2023 займет член Правления компании Мелешина Анна Юрьевна, занимающая должность директора департамента по корпоративным отношениям и устойчивому развитию.Также он ввел должность исполнительного директора, на которую он перейдет с поста президента ПАО «Магнит» 30.06.2023. На данной позиции Ян Дюннинг планирует сфокусироваться на управлении операционной деятельностью группы «Магнит».В соответствии с уставом ПАО «Магнит» вопрос об избрании нового единоличного исполнительного органа компании будет решаться советом директоров ПАО «Магнит» после его формирования.",MGNT
19,Petrov,"Всё, что нужно знать о МАГНИТЕ.Всем! Привет!.; р))Пять волн уже случилось.Все сливки сняты. Осталось засадить как можно больше публикии перестать платить дивиденды.Ах дивиденды уже не платят.Значит, дело за малым.; р((Авто-репост. Читать в блоге>>>",MGNT
20,znak,"Ремора, да, во первых неясно, будут ли выкупленные акции гаситься. Во вторых, не верю я в эту компанию, сплошные американские горки какие-то...Вася Баффет, главноеа вот отношения с минорами после 10-15 августа --будут партнерскими или…( поскольку пока фактически все являются минорами поскольку нет ни у кого контроля)посмотрим как будет это в реальности",MGNT
21,Вася Баффет,"znak, зачем Марафону гасить пакет на радость миноров сокращая свой пакет?… :) это как минимум глупо.лучше оставить этот % на дочерней комп...Ремора, да, во первых неясно, будут ли выкупленные акции гаситься. Во вторых, не верю я в эту компанию, сплошные американские горки какие-то! То из индекса едва не вышибли их (шанс на это в сентябре сохраняется), то вдруг всё хорошо, выкуп акций. Разводка какая-то!",MGNT
22,Козлов Юрий,"Магнит: аппетит приходит во время еды🧐 Как мы уже обсуждали с вами на прошлой неделе, инвестиционная история в акциях Магнита после публикации финансовой отчётности за 2022 год и 3m2023 заиграла совершенно другими и куда более позитивными красками!Краснодарский ритейлер наконец-то вышел из тени, в которой он держался почти год, причём сделал это очень красиво и эффектно. А вдобавок ко всему ещё и объявил о тендерном предложении для акционеров-нерезидентов, который в первоначальном виде предполагал выкуп до 10,2 млн акций (10% акционерного капитала) по цене2215 руб. за акцию, что означало своеобразный “правительственный дисконт” в районе 50% к текущей цене и 6-месячной средней.Уже спустя всего неделю после анонсирования этого предложения стало понятно, что спрос со стороны акционеров-нерезидентов оказался очень высокий, да и Магнит с объёмом денежных средств на балансе компании в размере 314,9 млрд руб. легко мог позволить себе при желании нарастить в разы лимит выкупа акций. Что он вчера и сделал,увеличив лимит выкупа акций у нерезидентов почти в три раза — до29.8%.Авто-репост. Читать в блоге>>>",MGNT
23,ValeraShelomov,Ушатали рубль своим выкупомВесело,MGNT
24,Petrov,"""МАГНИТ + брокер"" предлагают мне продать мой МАГНИТ по 2215 р.Вот думаю:— в рынок залить по 5150 ?— или продать ребятам из топов в Магните по 2215 ?; рьАвто-репост. Читать в блоге>>>",MGNT
25,Ремора,"Ремора, погасит обязательно — это лучший вариантна краткосрок смотрю позитивно на акцию до 10 августано после выкупа — есть вероятность ...znak, зачем Марафону гасить пакет на радость миноров сокращая свой пакет?… :) это как минимум глупо.лучше оставить этот % на дочерней компании и начислять на него себе же часть див.это не бай бек с целью погашения… а лишь возможность нарастить свой % владения нахаляву… обогащать миноров за свой счет Марафон групп не планирует.",MGNT
26,znak,"РоманП., Магнит по текущей цене сомнительная инвестиция… могут часть купленного даром пакета вылить в рынок, чтоб издержки частично покрыть....Ремора, погасит обязательно — это лучший вариантна краткосрок смотрю позитивно на акцию до 10 августано после выкупа — есть вероятность еще 20 проц выкупить у нерезови тогда полный контроль у мажора — поэтому нужно заставить его публично прояснить через прессу дивполитикуи отношение к минорам — как говорят обещание и слово не воробейпоскольку отношение к минорам посл год было неудовлетворительныма здесь после 10 августа все в руках мажора поэтому есть риски --все знают какиеесли их убрать через публичные обещания не делать то чего все боятся то акция может быть очень интересной",MGNT
27,stanislava,"После завершения оферты Магнит может распределить дивиденды в размере более 1000 рублей на акцию - Альфа-БанкМагнит объявил о решении увеличить размер тендерного предложения до 30 370 000 акций, или до 29,8% акций в обращении (против 10% изначально). Другие условия, вкл. цену покупки и ожидаемые сроки завершения остаются без изменений. Решение было принято в связи со значительно более высоким интересом акционеров, чем изначально ожидалось. Таким образом, компания может потратить на обратный выкуп до 67,3 млрд руб.Новость позитивна для акций, поскольку 1) вырастет стоимость компании и потенциальные дивиденды (в расчете на акцию) для акционеров, которые не планируют участвовать в оферте, и 2) вырастет вероятность того, что выплаты дивидендов могут возобновиться в ближайшее время.По-прежнему существует потенциал для выкупа большего количества акций, поскольку инвесторы из “недружественных” юрисдикций владеют примерно 50% акций Магнита, согласно публичным данным. Напомним, что по состоянию на конец 2022 года Магнит располагал денежными средствами в размере 315 млрд руб. и, по нашим оценкам, может сгенерировать около 70 млрд руб. свободного денежного потока в 2023 году.Авто-репост. Читать в блоге>>>",MGNT
28,stanislava,"Выкуп бумаг Магнитом у нерезидентов пользуется повышенным спросом - ПромсвязьбанкНедавно компания объявила, что планирует приобретать бумаги у нерезидентов с примерно 50% дисконтом, что позитивно было оценено за рубежом. На фоне выросшего спроса Магнит вчера объявил об увеличении объема обратного выкупа у инвесторов-нерезидентов до 29,8% (почти в 3 раза).Данное решение окажет позитивный эффект на котировки бумаг Магнита на МосБирже в ходе ближайших торгов: приобретение большего числа бумаг по цене ниже рынка увеличивает акционерную стоимость оставшихся бумаг и приближает компанию к восстановлению выплат дивидендов.ПромсвязьбанкАвто-репост. Читать в блоге>>>",MGNT
29,Дмитрий Шабалов,"#MGNT- 9.23, Фьючерсный контракт#MGNT- 9.23, Фьючерсный контрактТип сделки: Продажа по рынкуАвто-репост. Читать в блоге>>>",MGNT
30,Ремора,"Купил сегодня на Хайпе и падении немного акций и фьючей. Хотя идея по мне очень сомнительная на самом деле. Кто хоть что ждёт то?РоманП., Магнит по текущей цене сомнительная инвестиция… могут часть купленного даром пакета вылить в рынок, чтоб издержки частично покрыть.«30% всех акций приобретаются с большим дисконтом к рынку от лица дочерней компании (ООО «Магнит Альянс»), поэтому сам «Магнит» не обязан гасить купленный пакет.Это может стать прецедентом и для других эмитентов с высокой долей иностранного капитала. Однако есть риск получения «неоправданного» дохода как эмитента, так и акционеров — что может привести либо к установлению для таких эмитентов новых налогов, либо к увеличению в российском контуре free-float по таким бумагам.»— Риком Траст пишет… :)=====в Татнефти завтра хайп возможен на принятии див =13,4% годовых (5,5% за квартал).думаю может хорошо стрельнуть.",MGNT
31,Va Chen,"Придумал, как получить 100%-ный кэшбэк на все покупки в Магните. Надо просто регулярно покупать его акции (особенно на просадках). Тогда, сколько бы вы ни тратили в магазинах Магнит — все пойдет в ваш карман, как акционера.Если делать так 10 лет и более — все траты окупятся сторицей!:)",MGNT
32,Va Chen,"Va Chen, немного запоздалая реакция на информацию двух недельной давности.Heinrich Baur, не. Просто аутотренинг. Лишний раз успокаиваю себя, что риски делистинга миновали (призрак делистинга был страшнее всего:)",MGNT
33,РоманП.,Купил сегодня на Хайпе и падении немного акций и фьючей. Хотя идея по мне очень сомнительная на самом деле. Кто хоть что ждёт то?,MGNT
34,Марэк,"Магнит – Налог на сверхприбыль (windfall tax)Прибыль 2018-2019 = 24,170 млрд руб + 9,564 млрд руб = 33,734 млрд рубПрибыль 2021-2022 = 48,118 млрд руб + 27,933 млрд руб = 76,051 млрд рубНалог на сверхприбыль: 42,317 млрд руб * 10% =4,232 млрд рубwww.e-disclosure.ru/portal/files.aspx?id=7671&type=4sozd.duma.gov.ru/download/89F6EE7E-7B06-4E68-A6B2-06F2C902B336",MGNT
35,Марэк,"Принят в первом чтении законопроект о 10%-ом налоге на сверхприбыль.Законопроект разработан в целях формирования дополнительных доходов федерального бюджета. Налог будет носить разовый характер.28.06.2023, 17:06В первом чтении принят проект закона «О налоге на сверхприбыль». Его автором выступило Правительство РФ.Как подчеркивается в пояснительной записке, документ «разработан в целях формирования дополнительных доходов федерального бюджета».Законопроектом предлагается установить для организаций, у которых средняя арифметическая величина прибыли за 2021 и за 2022 годы оказалась выше 1 млрд рублей, налог на сверхприбыль.«Налоговая база для данного налога рассчитывается как прирост средней арифметической величины прибыли за 2021 год и прибыли за 2022 год над средней арифметической величиной прибыли за 2018 год и прибыли за 2019 год, а налоговая ставка устанавливается в размере 10 %», — сказано в проекте закона.Налог на сверхприбыль будет зачисляться исключительно в федеральный бюджет и носить разовый характер. Также предусматривается ряд категорий организаций, которые исключаются из состава плательщиков налога на сверхприбыль.4. Не признаются налогоплательщиками:1) организации, включенные по состоянию на 31 декабря 2022 года в единый реестр субъектов малого и среднего предпринимательства;2) российские организации, созданные после 1 января 2021 года, за исключением организаций, созданных в результате реорганизации организаций, действующих до 1 января 2021 года;3) иностранные организации, начавшие осуществлять свою деятельность в Российской Федерации через постоянные представительства после 1 января 2021 года;4) организации, осуществлявшие в течение 2022 года добычу углеводородного сырья на участке недр, предоставленном таким организациям в пользование в соответствии с законодательством Российской Федерации;5) организации, осуществлявшие в течение 2022 года добычу угля на участке недр, предоставленном таким организациям в пользование в соответствии с законодательством Российской Федерации;6) организации, имевшие по состоянию на 31 декабря 2022 года свидетельство о регистрации лица, совершающего операции по переработке нефтяного сырья и определявшие не менее чем в шести налоговых периодах по акцизам, приходящихся на 2022 год, величину КдЕМп, отличную от нуля, при расчете вычета сумм акциза в соответствии с пунктом 27 статьи 200 Налогового кодекса Российской Федерации;7) организации, являвшиеся в 2022 году участниками консолидированной группы налогоплательщиков, в состав которой в 2022 году входили организации, указанные в пунктах 4 и (или) 6 настоящей части;8) организации, имевшие по состоянию на 31 декабря 2022 года свидетельство о регистрации лица, совершающего операции по переработке нефтяного сырья, и действующий договор об оказании ею услуг по переработке нефтяного сырья организации, отвечающей требованиям пунктов 4 и (или) 6 настоящей части;9) организации, которые осуществляют деятельность по производству сжиженного природного газа и до 31 декабря 2022 года включительно осуществили экспорт хотя бы одной партии сжиженного природного газа на основании лицензии на осуществление исключительного права на экспорт газа в соответствии с пунктом 2 части 1 1 статьи 3 Федерального закона от 18 июля 2006 года № 117-ФЗ «Об экспорте газа»;10) российские организации, которые прямо участвуют в организации, указанной в пунктах 4 и (или) 6 настоящей части, и доля участия ' в такой организации составляла по состоянию на 31 декабря 2022 года не менее 75 процентов;11) организации, являющиеся налогоплательщиками единого сельскохозяйственного налога непрерывно с 1 января 2018 года по 31 декабря 2022 года включительно.Статья 3. Объект налогообложения1. Объектом налогообложения налогом признается сверхприбыль, полученная налогоплательщиком.2. Сверхприбыль определяется, если иное не установлено настоящей статьей, как превышение средней арифметической величины прибыли за 2021 год и прибыли за 2022 год над средней арифметической величиной прибыли за 2018 год и прибыли за 2019 год.sozd.duma.gov.ru/download/89F6EE7E-7B06-4E68-A6B2-06F2C902B336duma.gov.ru/news/57405/",MGNT
36,znak,"znak, твоя основная проблема в том, что ты даже не понимаешь что ты есть тварь дрожащая и, соответственно, права не имеющая. Кто тебя вообще...Heinrich Baur, я обычно общаюсь с вежливыми людьми ( указанного выше уровня )их и тестируюпонимаешь вот есть доктор физмат наук и нужно возглавить новое направлениено если он не обладает широкой эрудицией и не готов к стремительно меняющейся реальностии большой неопределенности, и не мощный исследователь( а не просто хороший спец )-- то при тестировании, он не проходитизвини нобольше добавить нечего",MGNT
37,Марэк,"Замглавы Минфина допустил повышение пошлин на импортное вино.27.06.2023Комиссия по таможенно-тарифному регулированию при Минэкономики обсуждает повышение таможенных пошлин на импорт вина в России, сообщил замглавы Минфина Алексей Сазанов. Сейчас ставка пошлины составляет 12,5%.«Будут ли пошлины повышены и на сколько — эти вопросы пока обсуждаются. В ближайшие месяц-два должны прийти к какому-то решению»,— рассказал господин Сазанов в интервью «Российской газете».По его словам, обсуждаемые параметры «позволяют сохранить стабильность цен на российском рынке вина», но какие-либо детали он не привел. Замминистра подтвердил, что Ассоциация виноградарей и виноделов предлагала запретить поставки вина из недружественных стран, но заверил, что о запрете импорта речь не идет.В мае власти Краснодарского края предложили поднять ввозные пошлины на вино иностранного производства, чтобы «избавить рынок края от некачественной продукции». Глава Кубани Вениамин Кондратьев заявил, что к внутреннему продукту предъявляют высокие требования, в то время как иностранные компании поставляют в магазины «низкосортную продукцию», и назвал такую ситуацию неприемлемой.www.kommersant.ru/doc/6069017",MGNT
38,Марэк,"Председатель Госдумы В.Володин предложил ввести в России уголовное наказание для предпринимателей, использующих пальмовое масло при производстве продуктов питания.28.06.2023, 14:29«Нам необходимо ввести уголовную ответственность для тех, кто использует эти заменители. Понятно, что они дешевле, прибыли больше, но, с другой стороны, это вред для здоровья»,— сообщил господин Володина (цитата по сайту Государственной думы).По словам спикера ГД, соответствующие поправки в законодательство необходимо подготовить в срочном порядке. После введения уголовной ответственности, как полагает господин Володин, предприниматели «будут осознавать ответственность, когда вместо молока в продукцию добавляются дешевые заменители — говяжий жир или пальмовое масло».Как сообщает пресс-служба Госдумы, позицию Вячеслава Володина поддержал глава Россельхознадзора Сергей Данкверт. В ближайшее время парламентарии собираются подготовить и принять постановление Госдумы, после чего стартует разработка поправок в действующее российское законодательство.duma.gov.ru/news/57409/?utm_source=yxnews&utm_medium=desktop&utm_referrer=https%3A%2F%2Fdzen.ru%2Fnews%2Fstory%2FVolodin_prizval_vvesti_ugolovnoe_nakazanie_zaispolzovanie_palmovogo_masla_vproduktakh--a4ceab17e82e45377b5bf0057404eb5f",MGNT
39,Вася Баффет,"Вот, самое главное! Цитата: ""«Магнит» ожидает, что по завершении предложения он сохранит статус публичной компании с листингом акций на Моск...Va Chen, ожидать они могут что угодно, но из сентябрьского списка «на мороз» их пока никто не исключал.",MGNT
40,Heinrich Baur,"Вот, самое главное! Цитата: ""«Магнит» ожидает, что по завершении предложения он сохранит статус публичной компании с листингом акций на Моск...Va Chen, немного запоздалая реакция на информацию двухнедельной давности.",MGNT
