id,username,post,ticker
159,Алексей Мамаев,валим г-ов в клозетyoutu.be/nFebjghG2g4,SBER
160,Алексей Мамаев,"Не стал ждать. Закрыл Лонги по остальнымKopa Del Toro, даже квик закрыл? или ищешь где купить?) мне так) тупо ) поржать)))))",SBER
161,Kopa Del Toro,Не стал ждать. Закрыл Лонги по остальным,SBER
162,Созерцатель,"Созерцатель, а вы подумайтеocean drive, тут брат дело такое, главное самому когда мысли такие в голову зайдут в зеркало не смотреться:«Ты, — говорит, — надень на него мысленно шапочку эту ихнюю специально — сразу увидишь: масон или наш человек. И чего только не придумают люди! Ну мысленно, если честно, у меня не всегда получается. На всякий случай я её с собой ношу. Как какое сомнение — ну-ка, друг, примерь!»©",SBER
163,ocean drive,"ocean drive, Вольные каменщики,. А ковид это такой изощрённый способ?Созерцатель, а вы подумайте",SBER
164,не бык,"Всем-сладких Снов!И пусть завтра-будет лучше, чем сегодня!",SBER
165,Алексей Мамаев,"ocean drive, я утоплю твой сберАлексей Мамаев, пока ярд баксов не отдадут буду валить",SBER
166,Созерцатель,"Созерцатель, думаю уже идет… только об этом не говорят… то ковид… то война… то еще что-нибудьocean drive, Вольные каменщики,. А ковид это такой изощрённый способ?",SBER
167,ocean drive,такое ощущение что Сбер и роботы думают куда акцию тащишь… вверх или вниз… картинка явно вниз указывает а роботы думают давайте людей разведем и вверх опять и загоним туда еще стадо овечек… ;),SBER
168,Алексей Мамаев,"Алексей Мамаев, какой-там новый лой… 2 дня назад катались на 239ocean drive, я утоплю твой сбер",SBER
169,ocean drive,"ocean drive, «и пойдёт война уничтожение человечества»©Созерцатель, думаю уже идет… только об этом не говорят… то ковид… то война… то еще что-нибудь",SBER
170,ocean drive,"новый лой… чпок)Алексей Мамаев, какой-там новый лой… 2 дня назад катались на 239",SBER
171,Созерцатель,"Созерцатель, ну да… уже массовые сокращения в больших тех компаниях в США не случайны… большие проблемы на горизонте и массы людей без работ...ocean drive, «и пойдёт война уничтожение человечества»©",SBER
172,ocean drive,"ocean drive, «а потом вообще смысл потеряется»Созерцатель, ну да… уже массовые сокращения в больших тех компаниях в США не случайны… большие проблемы на горизонте и массы людей без работы",SBER
173,Созерцатель,"Созерцатель, что «в людях»?ocean drive, «а потом вообще смысл потеряется»",SBER
174,ocean drive,"ocean drive, в людях?Созерцатель, что «в людях»?",SBER
175,Алексей Мамаев,новый лой… чпок),SBER
176,Алексей Мамаев,короче давлю.,SBER
177,Созерцатель,"если роботы (AI) будут торговать в будущем… человек вообще в торгах не нужен… будет борьба роботов против роботов… а потом вообще смысл поте...ocean drive, в людях?",SBER
178,Алексей Мамаев,"если роботы (AI) будут торговать в будущем… человек вообще в торгах не нужен… будет борьба роботов против роботов… а потом вообще смысл поте...ocean drive, ты нахер тут это написал))) мы лонгустов в очко везем)",SBER
179,Алексей Мамаев,батискафЧЕГ мой),SBER
180,ocean drive,если роботы (AI) будут торговать в будущем… человек вообще в торгах не нужен… будет борьба роботов против роботов… а потом вообще смысл потеряется,SBER
181,Алексей Мамаев,яж люблю),SBER
182,Алексей Мамаев,Кость. Вот их ща +-300 на ветке) прикинь ща давану))))))),SBER
183,Алексей Мамаев,"Фьюч на мамбу уже в обед после задерга выглядит как гавно, в отличии от самого индекса. Кто догадается почему, получит пирожокКонстантин, прекращай)",SBER
184,Алексей Мамаев,"Алексей Мамаев, Котлеты пойдут на 238Петров, оставь четок на еду, для детей Таганрога. там все плохо походу. мне стремно если чел по помойкам метаться будет… еду им собирать",SBER
185,Константин,"Фьюч на мамбу уже в обед после задерга выглядит как гавно, в отличии от самого индекса. Кто догадается почему, получит пирожок",SBER
186,Алексей Мамаев,"Алексей Мамаев, Котлеты пойдут на 238Петров, тут парни ал-ин идут. а ты ссышь…",SBER
187,Алексей Мамаев,"И чё это сейчас было — что за обвальчик?ocean drive, ах тема)))www.youtube.com/watch?v=9NNC88AXlf4",SBER
188,Петров,"Петров, ссыкун) котлеть)Алексей Мамаев, Котлеты пойдут на 238",SBER
189,Алексей Мамаев,"Прикупаю понемногуПетров, ссыкун) котлеть)",SBER
190,ocean drive,И чё это сейчас было — что за обвальчик?,SBER
191,Петров,Прикупаю понемногу,SBER
192,Алексей Мамаев,"На чем падение?Петров, ну так лохам уже давно шлак впарили. что за вопрос?)))))",SBER
193,Алексей Мамаев,КУКЛЫ — ВЫ ДНО),SBER
194,Петров,На чем падение?,SBER
195,Алексей Мамаев,куклы тупые…,SBER
196,Алексей Мамаев,СИ опять попрет… прямо ща,SBER
197,Алексей Мамаев,вола высокая. к пидц готовят. а направление уже…,SBER
198,Sergei,"Sergei, очень актуально) из очка хряка)Алексей Мамаев, инвесторы в России должны страдать! таков путь)",SBER
199,Алексей Мамаев,"Алексей Мамаев, в качестве прогноза :Sergei, очень актуально) из очка хряка)",SBER
200,Sergei,"Sergei, офз дно. только ликвид. только макс плечи. четкий разум и огромный профитАлексей Мамаев, в качестве прогноза:",SBER
201,Алексей Мамаев,"Детсад ясельная группаКоммунизму быть!, ты про свой ник?",SBER
202,Алексей Мамаев,ну а куклы идут в ОЧКО!,SBER
203,Алексей Мамаев,"Алексей Мамаев, уже начали тарить ОФЗ. мы сидим, а денежки идут!Sergei, офз дно. только ликвид. только макс плечи. четкий разум и огромный профит",SBER
204,Коммунизму быть!,Детсад ясельная группа,SBER
205,Sergei,"Kopa Del Toro, закроют биржуАлексей Мамаев, уже начали тарить ОФЗ. мы сидим, а денежки идут!",SBER
206,khornickjaadle,"Усилят охрану соответственно, раз открытым текстом говорят.",SBER
207,khornickjaadle,"Киев в ночь на 5 июля собирается атаковать ЗАЭС с применением высокоточного оружия и беспилотников-камикадзе — советник главы РосэнергоатомаKopa Del Toro, Вот оно что, почему покатился рынок вниз.",SBER
208,Kopa Del Toro,"Kopa Del Toro, закроют биржуАлексей Мамаев, думаю обойдется все",SBER
209,Алексей Мамаев,"Киев в ночь на 5 июля собирается атаковать ЗАЭС с применением высокоточного оружия и беспилотников-камикадзе — советник главы РосэнергоатомаKopa Del Toro, закроют биржу",SBER
210,Коммунизму быть!,"После ночного происшествия, какие будут цены завтра???Сергей, сбер держит наличку на заэс",SBER
211,Kopa Del Toro,Киев в ночь на 5 июля собирается атаковать ЗАЭС с применением высокоточного оружия и беспилотников-камикадзе — советник главы Росэнергоатома,SBER
212,Kopa Del Toro,"После ночного происшествия, какие будут цены завтра???Сергей, 215",SBER
213,Сергей,"После ночного происшествия, какие будут цены завтра???",SBER
214,Алексей Мамаев,"Алексей Мамаев,Вообще без стопов!не бык, настоящий НЕ БЫК)!",SBER
215,не бык,"не бык, стоп тупо в БУ втыкай. будет веселоАлексей Мамаев,Вообще без стопов!",SBER
216,Алексей Мамаев,"не бык, Моё пока такGorik, я в тебе не сомневался)",SBER
217,Алексей Мамаев,"Что там, спамера nsk, спать отправили? :))Kopa Del Toro, что за черт?)",SBER
218,Kopa Del Toro,"Что там, спамера nsk, спать отправили? :))",SBER
219,Gorik,"Gorik,А возможно и не дергаться!Не знаю, как там у тех, кто -покупал!Но у меня-так!не бык, Моё пока так",SBER
220,Алексей Мамаев,потом опять ныть будет урод,SBER
221,Алексей Мамаев,дятлы инорезов выпускать собрались походу),SBER
222,Алексей Мамаев,"Taganrog,Это не таблица!Это мой клиентский портфель-припухает от шортиков!не бык, стоп тупо в БУ втыкай. будет весело",SBER
223,не бык,"не бык, когда ты откроешь мне доступ к твоим таблицам?Taganrog,Это не таблица!Это мой клиентский портфель-припухает от шортиков!",SBER
224,Алексей Мамаев,"не бык, когда ты откроешь мне доступ к твоим таблицам?Taganrog, режь лосей. пожалей детей",SBER
225,Taganrog,"Gorik,А возможно и не дергаться!Не знаю, как там у тех, кто -покупал!Но у меня-так!не бык, когда ты откроешь мне доступ к твоим таблицам?",SBER
226,не бык,"nsk54, Как время делать сделку приходит, подумал куда открывать и открывай в обратном направлении, вероятно будет чаще в плюс быстрее выходи...Gorik,А возможно и не дергаться!Не знаю, как там у тех, кто -покупал!Но у меня-так!",SBER
227,Алексей Мамаев,кто будет ловить ножи — обнулю,SBER
228,С.В.,"nsk54, Как время делать сделку приходит, подумал куда открывать и открывай в обратном направлении, вероятно будет чаще в плюс быстрее выходи...Gorik моё сообщение не увидит… Да фиг вам! Хоть как открывай — роботы манипуляторов настроены не на намерения, а на конкретные сделки.",SBER
229,Алексей Мамаев,я тебя на 45 отправлю,SBER
230,Gorik,"ПЗДЦ… И апять в Ад))))))))))Да Чё за Херня-то?Как ни вазьму ->>>>> против…nsk54, Как время делать сделку приходит, подумал куда открывать и открывай в обратном направлении, вероятно будет чаще в плюс быстрее выходить.",SBER
231,nsk54,"Ну, КАК?!!! В ТРЕЗВОМ уме взять ТАКОЕ?",SBER
232,nsk54,,SBER
233,не бык,"не бык, Может и так, я не знаю. В любом случае, я доволен своими результатами.1SV,Рад за Вас!Не могу представить состояние людей-вот при таком русским словом: беспределе брокера!www.bfm.ru/news/511382",SBER
234,nsk54,"nsk54, ну ок. Топи в одиночку :)))Kopa Del Плюсанул)))))))))))",SBER
235,nsk54,"nsk54, а прикол то в чем? Смеется кто то с этого или в одиночку давишься?Kopa Del Toro, да я и тебя даже не рассматриваю… Так… Муха…",SBER
236,Kopa Del Toro,"Kopa Del Toro, ПРИКОЛ в ТОМ, что вы, ЧЮДОРАСТЫ, топить будете БЕЗОСНОВАТЕЛЬНО…nsk54, ну ок. Топи в одиночку :)))",SBER
237,nsk54,"nsk54, а прикол то в чем? Смеется кто то с этого или в одиночку давишься?Kopa Del Toro, ПРИКОЛ в ТОМ, что вы, ЧЮДОРАСТЫ, топить будете БЕЗОСНОВАТЕЛЬНО…",SBER
238,Kopa Del Toro,"Kopa Del Toro, можешь пригласить СВОЕГО ПАРНЯ))))))nsk54, а прикол то в чем? Смеется кто то с этого или в одиночку давишься?",SBER
239,1SV,"1SV,У нас нет рынка(мое мнение)-базарчик инсайдерский или рынок одного игрока!не бык, Может и так, я не знаю. В любом случае, я доволен своими результатами.",SBER
240,nsk54,"nsk54,www.youtube.com/watch?v=d00SwxBES5Eне бык, Пасиб за Общение!",SBER
241,Вадим Назаренко,"В июне 2023 года количество открытых Сбером эскроу-счетов превысило один миллион, а их общая сумма составила 5,2 трлн рублей. При этом банк уже раскрыл 593,3 тыс. эскроу-счетов на 2,3 трлн рублей.",SBER
242,не бык,"не бык, не ПОЗОРЬ СООБЩЕСТВО))))))))))))nsk54,www.youtube.com/watch?v=d00SwxBES5E",SBER
243,nsk54,Тута есть ПАРОЧКА с Парнями…,SBER
244,nsk54,"nsk54,Старость-не радость!Уйду в шортеЖивы будем-не крякнем!не бык, не ПОЗОРЬ СООБЩЕСТВО))))))))))))",SBER
245,не бык,"не бык, ты, ПОДИ, и Динозавров видел)))))))))))))))))))))))))))))))))))))))))))))nsk54,Брежнев и его окружение!Мастодонты!",SBER
246,nsk54,"Не… ДЯРЕВНЯ, кака-то....КАВО?ШО?А?................................................................................",SBER
247,не бык,"не бык, )))))))))))))))))))))))))Я видел))))))))))))))))))))))))))))))))))))))))))))))))Отметку ещё сделал Себе)))))))))))))))))))Ужас......nsk54,Старость-не радость!Уйду в шортеЖивы будем-не крякнем!",SBER
248,nsk54,Минусану…,SBER
249,nsk54,Риторический вопрос про дино))))))))))),SBER
250,nsk54,"nsk54,Будем!не бык, ты, ПОДИ, и Динозавров видел)))))))))))))))))))))))))))))))))))))))))))))",SBER
251,nsk54,"nsk54,Будем!не бык, )))))))))))))))))))))))))Я видел))))))))))))))))))))))))))))))))))))))))))))))))Отметку ещё сделал Себе)))))))))))))))))))Ужас....Какой ТЫ ОТСТАЛЫЙ!",SBER
252,не бык,"не бык, Ну, это, ТАК, ОКОЛОИНЕТНОЕ «СПАСИБО»......)))))Будь!nsk54,Будем!",SBER
253,nsk54,,SBER
254,nsk54,Итого...,SBER
255,nsk54,,SBER
256,nsk54,"nsk54,Отдых!Не пью!не бык, Ну, это, ТАК, ОКОЛОИНЕТНОЕ «СПАСИБО»......)))))Будь!",SBER
257,nsk54,Да-да-да....Имеем Права…,SBER
258,не бык,"не бык,nsk54,Отдых!Не пью!",SBER
259,nsk54,"nsk54,Ваше право!не бык,Пасиб!",SBER
260,nsk54,"не бык, самые ценные трейдеры на форумах те, которые озвучивают свои сделки. Ты понял? Выходит, что ты ценный кадр.Taganrog, не факт.................................................................................*про ценный кадр",SBER
261,Taganrog,"Taganrog,!?Она же дурацкая(с Ваших слов)К чему она Вам!?не бык, самые ценные трейдеры на форумах те, которые озвучивают свои сделки. Ты понял? Выходит, что ты ценный кадр. Где таблицу смотреть?",SBER
262,nsk54,"nsk54,Ваше право!не бык,",SBER
263,Созерцатель,"Украина личным составом и техникой усиливает позиции на границе с Беларусью в связи с ситуацией вокруг Запорожской АЭС, сообщил командующий ...Kopa Del Toro, А почему с Беларусью? Запорожская же в другой стороне?… А понял подальше от эпицентра, жахнуть собираются))",SBER
264,игорь баженов,"игорь баженов, Ну друг друг, чё тебя это так задело.Созерцатель, Да похрен, мне просто не нравятся пустые разговоры… мы же здесь не для того что бы хаить друг друга, а найти смысл в трэйдинге..",SBER
265,Kopa Del Toro,"Украина личным составом и техникой усиливает позиции на границе с Беларусью в связи с ситуацией вокруг Запорожской АЭС, сообщил командующий украинскими объединенными силами Сергей Наев.",SBER
266,nsk54,"nsk54,Ваше право!не бык, Пасиб! (Плюсанул)",SBER
267,nsk54,"ЛИЧНО я УВЕРЕН был, что сёня будет КОЦМАС…",SBER
268,не бык,"не бык, минусанул…nsk54,Ваше право!Шортунов-увидели!",SBER
269,nsk54,"Клиринг, нахой....))))На Носу…",SBER
270,nsk54,"nsk54,Ветку за вчерашний день, после Вашего прощания-взгляните!Вечерком еще вчера-сбер в шорт по полной!не бык,",SBER
271,nsk54,"nsk54,Публиковал ранее-таблицу сделок!Но,«имеющий глаз, да -увидит»Это не к отдельным нашим форумчанам!Да и на Ваш, вчерашний вопрос о...не бык, минусанул…",SBER
272,не бык,"не бык, ясно… Можете повторить… для Пенсов?))))nsk54,Ветку за вчерашний день, после Вашего прощания-взгляните!Вечерком еще вчера-сбер в шорт по полной!",SBER
273,nsk54,аааааааааааа… я вспоминаю… Таблицу....Там ВАЩЕ ниуя непонятно!Вспомнил!Видел...Мимо…,SBER
274,не бык,"не бык, Сильно не вникал, сейчас на рынке РФ сосредоточен.А у нас-карманы, граждан обчистили в оба конца по валюте, акциям!Да при чём тут...1SV,У нас нет рынка(мое мнение)-базарчик инсайдерский или рынок одного игрока!",SBER
275,nsk54,Сёрфить… увы… не сегодня…,SBER
276,nsk54,"nsk54,Публиковал ранее-таблицу сделок!Но,«имеющий глаз, да -увидит»Это не к отдельным нашим форумчанам!Да и на Ваш, вчерашний вопрос о...не бык, ясно… Можете повторить… для Пенсов?))))",SBER
277,Дмитрий Первый,"Дмитрий Первый, может ещё не времяСозерцатель, да уж",SBER
278,nsk54,"Taganrog,!?Она же дурацкая(с Ваших слов)К чему она Вам!?не бык, ЧЁ за ТАБЛИЦА?!!!",SBER
279,не бык,"не бык, чё за Таблица?nsk54,Публиковал ранее-таблицу сделок!Но,«имеющий глаз, да -увидит»Это не к отдельным нашим форумчанам!Да и на Ваш, вчерашний вопрос о шортунах-ответил-фото «портфеля»!",SBER
280,Созерцатель,"Созерцатель, я у него спрашивал, что это за знаки, он отмолчалсяДмитрий Первый, может ещё не время",SBER
281,nsk54,,SBER
282,Созерцатель,"Созерцатель, Представь себе мне вот тоже не сообщили о.., друге, а сразу стали поносить, это норм или хрень какая то… хе хе дурдом, тем боле...игорь баженов, Ну друг друг, чё тебя это так задело.",SBER
283,nsk54,,SBER
284,Созерцатель,"Тим: Сегодня закрыл свою валютную позицию по юаню полностью в районе 12,27.Прибыль отличная, юань брал еще осенью 2022, с тех пор он подорожал на 40% к рублю.Фундаментально, я думаю, основы для ослабления рубля сохранятся, но, в текущей точке акции некоторых экспортеров выглядят интереснее.©smart-lab.ru/company/mozgovik/blog/918891.php… А с осени моекс вырос ровно на +-40%, не такое уж и странное совпадениеИнтересно облиги дали бы такой же доход? не думаю.",SBER
285,1SV,"1SV, Вчера огрызок-за три триллиона капитализации перевалил!.не бык, Сильно не вникал, сейчас на рынке РФ сосредоточен.А у нас-карманы, граждан обчистили в оба конца по валюте, акциям!Да при чём тут это, они предполагают, а рынки располагают. Дело такое.",SBER
286,nsk54,"Taganrog,!?Она же дурацкая(с Ваших слов)К чему она Вам!?не бык, чё за Таблица?",SBER
287,Дмитрий Первый,"Дмитрий Первый, да? я не знаю как у него происходит,(как часто и когда именно) но он постит по сберу что-то интересное. Вот думал появился, ...Созерцатель, я у него спрашивал, что это за знаки, он отмолчался",SBER
288,nsk54,"Созерцатель, Представь себе мне вот тоже не сообщили о.., друге, а сразу стали поносить, это норм или хрень какая то… хе хе дурдом, тем боле...игорь баженов, Соррян…Эту Тему я замутил....Я, возможно, перепутал Тебя с Твоим Парнем…",SBER
289,не бык,"не бык, где эта твоя таблица, как её посмотреть? Подписываться нужно?Taganrog,!?Она же дурацкая(с Ваших слов)К чему она Вам!?",SBER
290,Созерцатель,"Созерцатель, он молчун)))Дмитрий Первый, да? я не знаю как у него происходит,(как часто и когда именно) но он постит по сберу что-то интересное. Вот думал появился, значит…",SBER
291,игорь баженов,"игорь баженов, почему сразу тоже. Вчера читал мельком тут про твоего друга какого-то.Созерцатель, Представь себе мне вот тоже не сообщили о.., друге, а сразу стали поносить, это норм или хрень какая то… хе хе дурдом, тем более что я этого чела вообще в упор не знаю… да, есть ещё чудилы....",SBER
292,nsk54,Мяу...,SBER
293,Дмитрий Первый,"Тихо-Тихо, jelezo появился, сейчас будет порция чего-то нового.Созерцатель, он молчун)))",SBER
294,nsk54,"Сделка была (Закрытие) с телефона...Комп Умер… Поддержка Алё, но не Алё…",SBER
295,Созерцатель,"Тихо-Тихо, jelezo появился, сейчас будет порция чего-то нового.",SBER
296,nsk54,,SBER
297,Taganrog,"Taganrog,Отправляйте!Моя таблица сделок-не пострадает!Заранее-Благодарю!не бык, где эта твоя таблица, как её посмотреть? Подписываться нужно?",SBER
298,Созерцатель,"Созерцатель, ты о чём или тоже голубок....игорь баженов, почему сразу тоже. Вчера читал мельком тут про твоего друга какого-то.",SBER
299,игорь баженов,"игорь баженов, Или вам с другом?Созерцатель, ты о чём или тоже голубок....",SBER
300,nsk54,,SBER
301,nsk54,,SBER
302,nsk54,Главное — Уметь Правильно Зайти!,SBER
303,Коммунизму быть!,"Созерцатель, в стену — это не падение и не рост. От стены — это возврат.С.В., тебе бы преподом пойти… В детский садик",SBER
304,не бык,"не бык, Ну, ситуации меняются. Тут, скорее, не вопрос что и кто говорит, а общего направления.1SV,И тут согласен!Вчера огрызок-за три триллиона капитализации перевалил!А у нас-карманы, граждан обчистили в оба конца по валюте, акциям! И вуаля-бизнес!",SBER
305,Дмитрий Шабалов,"Дмитрий Шабалов, оптимистично 23850 к концу дня, ну посмотрим если дойдем подписка с меняAnton Palyhc, Дата истечения только на открытие сделки.",SBER
306,nsk54,,SBER
307,Дмитрий Первый,"Французы вышли Пиз… ть арабов. С флагами идут, херачат эту нечисть",SBER
308,Созерцатель,"Суперлуние нам в помощь ..., как то так, будет меньше бандерлогов .., всё дело в популяции фашистов...игорь баженов, Или вам с другом?",SBER
309,nsk54,,SBER
310,Созерцатель,"Созерцатель, это не Жалостливый?))Дмитрий Первый, вроде пока нет)",SBER
311,Дмитрий Первый,"С.В., Это как знать, как знать, пробуй экран на 90(°) повернуть, может результаты торгов изменятся.Созерцатель, это не Жалостливый?))",SBER
312,Созерцатель,"интересно кому вам))… Так же это новолуние получило название Оленья Луна(оленье полнолуние). Такое название оно получило из индийских племён, так как в этот период у оленей отрастают новые рога.©",SBER
313,игорь баженов,"Суперлуние нам в помощь ..., как то так, будет меньше бандерлогов .., всё дело в популяции фашистов...",SBER
314,1SV,"1SV,Согласен!Только когда Белоусов, еще до Нового года, выступал: говорил-одно! На ПЭМФ, уже запел-другое!..не бык, Ну, ситуации меняются. Тут, скорее, не вопрос что и кто говорит, а общего направления.",SBER
315,ocean drive,"1SV,Согласен!Только когда Белоусов, еще до Нового года, выступал: говорил-одно! На ПЭМФ, уже запел-другое!Единственное, как я-понялВсе...не бык, какой ужас целых $15. Мне очень жаль что РФ унижает людей преклонного возраста… пенсии унизительны по сравнению с другими странами и это в стране Россия — где огромные богатства!",SBER
316,не бык,ria.ru/20230704/istrebitel-1882191615.htmlПоловина объема торгов-в акции сбербанка улетели в унитаз!,SBER
317,не бык,"не бык, Ну, тема, косвенно обсуждалась на форуме в Питере, на деловом завтраке (вопрос про налоги). Собственно, кто верно услышал, тот молод...1SV,Согласен!Только когда Белоусов, еще до Нового года, выступал: говорил-одно! На ПЭМФ, уже запел-другое!Единственное, как я-понялВсе население России-вообще ни кто не спрашивает!Силуанов-это вообще уникальный товарищЧерномырдин-просто отдыхает!",SBER
318,nsk54,Сбер в Моменте. Вчера vs СегодняАкции...Так называемая «Дельта» Покупок-Продаж....i.gyazo.com/a833244852b4d51fe82380bc4d7b68c1.pngАвто-репост. Читать в блоге>>>,SBER
319,1SV,"lenta.ru/news/2023/07/04/fallingdown/Все, теперь четко объяснили..не бык, Ну, тема, косвенно обсуждалась на форуме в Питере, на деловом завтраке (вопрос про налоги). Собственно, кто верно услышал, тот молодец.Если выбирать между инфляцией, налогами и контролем над валютой, то, таки да, выбор оправдан (на мой взгляд).",SBER
320,Алексей Мамаев,задраить люки! летим в бездонную канализацию!,SBER
321,Константин,"На mix прикольно чпокают в обе стороны, походу",SBER
322,не бык,"не бык, сейчас ты договоришься и загремишь в чс.Taganrog,Отправляйте!Моя таблица сделок-не пострадает!Заранее-Благодарю!",SBER
323,не бык,"lenta.ru/news/2023/07/04/fallingdown/Все, теперь четко объяснили-россияне платят-за ВСЕ!",SBER
324,Алексей Мамаев,"не бык, сейчас ты договоришься и загремишь в чс.Taganrog, 💩🤡",SBER
325,Taganrog,"Taganrog,Здесь форум акций Сбербанка!Как таблица сделок может быть-дебильной!?Возможно(скорее таки и есть), Ваша некомпетенция- ко всему...не бык, сейчас ты договоришься и загремишь в чс.",SBER
326,не бык,"не бык, твои дебильные таблицы никому не нужны.Taganrog,Здесь форум акций Сбербанка!Как таблица сделок может быть-дебильной!?Возможно(скорее таки и есть), Ваша некомпетенция- ко всему происходящему, заставляет писать пустые посты!",SBER
327,Созерцатель,"с откатом разобрались, значится остаётся наблюдать отскок. Ведь так? C.В.",SBER
328,Созерцатель,"Созерцатель, ты, наверное, еще и за компюктером работаешь и звОнишь, когда звонИшь?С.В., ничего не понял, кто звонит, кому звонит?",SBER
329,Созерцатель,"Созерцатель, «отскок» — это рост после падения (пример — упавший мяч), если акция падает после роста — это «откат». Так что имелось в виду?С.В., на самом деле это всё относительно тренда имелось ввиду(у сбера тренд восходящий), вот движение против его трендового я и назвал, отскоком..., откатом, скатом, падением, снижением, уменьшением, и т.д. и тп., а так да Вы правильно написали.",SBER
330,Taganrog,"Taganrog,В Таблицах сделок, как раз и цена входа и цены выхода!не бык, твои дебильные таблицы никому не нужны.",SBER
331,не бык,"не бык, никому не нужны твои таблицы. Написал позу-пиши уровень входа. Каждый раз.Taganrog,В Таблицах сделок, как раз и цена входа и цены выхода!",SBER
332,Taganrog,"Taganrog,Не пишите, что мне делатьи я, не напишу-куда, Вам идти!Взгляните-там ниже, целы таблицы сделок…не бык, никому не нужны твои таблицы. Написал позу-пиши уровень входа. Каждый раз.",SBER
333,Созерцатель,"Созерцатель, в стену — это не падение и не рост. От стены — это возврат.С.В., Это как знать, как знать, пробуй экран на 90(°) повернуть, может результаты торгов изменятся.",SBER
334,С.В.,"С.В., почему обязательно после падения от пола, может и от стены отскочить(пинг-понг).Созерцатель, в стену — это не падение и не рост. От стены — это возврат.",SBER
335,не бык,"не бык, запомни на всю жизнь,-когда пишешь о позе/,-пиши всегда почём покупал-продавал. Ты понял?Taganrog,Не пишите, что мне делатьи я, не напишу-куда, Вам идти!Взгляните-там ниже, целы таблицы сделок…Кроме, Вашего словоблудия-ни чего не видел!",SBER
336,Taganrog,"Созерцатель,Согласен!Но Индия, нам валюты не даст, а мы, туда вливаем!Я в шорте, а как карта ляжет-взглянем!не бык, запомни на всю жизнь,-когда пишешь о позе/,-пиши всегда почём покупал-продавал. Ты понял?",SBER
337,Созерцатель,"Белоусов с Сахипзадовной-как-то помалкивают ....не бык, им велено казну наполнить, вот собственно этим и занимаются, в данном случае не мешают))",SBER
338,Созерцатель,"Созерцатель, «отскок» — это рост после падения (пример — упавший мяч), если акция падает после роста — это «откат». Так что имелось в виду?С.В., почему обязательно после падения от пола, может и от стены отскочить(пинг-понг).",SBER
339,не бык,Белоусов с Сахипзадовной-как-то помалкивают ....,SBER
340,С.В.,"время покупок, хороший отсткок по некоторым акциям)Созерцатель, «отскок» — это рост после падения (пример — упавший мяч), если акция падает после роста — это «откат». Так что имелось в виду?",SBER
341,не бык,"не бык, да ничего там противозаконного, не опубликовали обязательную информацию. Понизили листинг до 3. Упасли от сильных движений неокрепши...Созерцатель,Инсайдеры-свое получили, остальные-кому как повезло!",SBER
342,Созерцатель,"Вон Мартын вещает CNYRUB новый хай за 14 месяцев. +1,7% за день 12,41 потрогалиsmart-lab.ru/blog/918785.phpВ этом мире так всё зыбко и не однозначно, за 14 месяцев 1.7% кому-то досталось ну такое. а доллар-то сколько людей больше 100 покупали, ждут не дождутся чтобы выпустили))",SBER
343,Созерцатель,"Созерцатель,Изначально, кто-то акции Магнит, чуть не засунули в третий дивизион! Три дня лили в пол....А тут...«Феникс»-воскрес!?Этонаш...не бык, да ничего там противозаконного, не опубликовали обязательную информацию. Понизили листинг до 3. Упасли от сильных движений неокрепшие умы инвесторов и молодых трейдеров. Всегда знал что зона логической ошибки гораздо больше правильного ответа.",SBER
344,не бык,"не бык, магнит же выкуп объявил, в таких случаях всегда растут обьёмы.общий объем торгов на рынках Мосбиржи в мае 2023 года вырос на 20,5% ...Созерцатель,Изначально, кто-то акции Магнит, чуть не засунули в третий дивизион! Три дня лили в пол....А тут...«Феникс»-воскрес!?Этонашаевсебазар!",SBER
345,Алексей Мамаев,сбер ПИЦОТ!,SBER
346,Созерцатель,"комиссию подняли на фонде многие на срочный ушли поэтомутам и повышение ставки рефинансирования, приведёт к повышению процентампо купонам облигаций. и этого ждут тоже.а у кого выручка в валюте, на конвертации их доход вырастет, у сырьевых компаний. А для банка важна увеличенная денежная масса которую он гоняет туда сюда",SBER
347,Созерцатель,"Созерцатель,Когда акции Магнита опережают по объему «наше все», то о какой волатильности говорить!?Взгляните объемы!Реально: «кто в лес,...не бык, магнит же выкуп объявил, в таких случаях всегда растут обьёмы.общий объем торгов на рынках Мосбиржи в мае 2023 года вырос на 20,5% г/г и составил 94,2 трлн рублей.Сегодня за Июнь опубликуютМосбиржа обновила рекордные значения по ряду показателей на срочном рынке, следует из данных торговой площадки. Объем торгов за июнь составил 6,8 трлн руб. – это максимальное значение с марта 2022 г., когда этот показатель составил всего 2,3 трлн руб.www.vedomosti.ru/finance/articles/2023/07/04/983574-mosbirzha-obnovila-rekord-obema-torgov-na-srochnom-rinke",SBER
348,не бык,"не бык, Да не! отлично, почему нет, короткая/длинная это выбор каждого, почему нет равно как и отрезок на котором проводить замер прибыли/уб...Созерцатель,Когда акции Магнита опережают по объему «наше все», то о какой волатильности говорить!?Взгляните объемы!Реально: «кто в лес, кто куда»!Доброго!",SBER
349,Созерцатель,"Созерцатель,Согласен!Но Индия, нам валюты не даст, а мы, туда вливаем!Я в шорте, а как карта ляжет-взглянем!не бык, Да не! отлично, почему нет, короткая/длинная это выбор каждого, почему нет, равно как и отрезок на котором проводить замер прибыли/убытка. Профи настоящие говорят что им без разницы для трейдинга куда идёт цена, нужна вола.",SBER
